purchase_id,fiscal_year,org_code,organization,project_name,season,production_category,banner_account_code,request_type,is_credit_card,requisition_number,reference_number,po_number,invoice_number,vendor_name,title,procurement_status,budget_status,estimated_amount,requested_amount,encumbered_amount,pending_cc_amount,posted_amount,ordered_on,received_on,paid_on,notes,reporting_budget_code,reporting_line
4033ac46-96a3-4705-a75c-b904bc0576d3,FY26,2AC200,Theatre,Fall Semester,Fall 2025,null,11220,expense,TRUE,null,null,null,null,null,Microtel Receipt,statement_paid,pending_cc,1000,0,0,915.6,0,null,null,null,null,11220,Lodging
33834885-2b99-4536-a5ce-2898d0788863,FY26,2AC230,Theatre Department,Miscellaneous Production Supplies,Fall 2025,null,11303,requisition,FALSE,R0016832,null,EP016353,null,B & H Foto & Electronics Corp.,Video Stuff,paid,posted,226.37,0,0,0,226.37,null,null,null,null,11303,Video
6d6677f6-aa82-416f-9e37-d5bcdf49d2bf,FY26,2AC230,Theatre Department,Miscellaneous Production Supplies,Fall 2025,null,11303,requisition,FALSE,R0016832,R0016832,EP016353,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0016832,paid,posted,226.37,0,0,0,226.37,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11303",11303,Video
cae4c42b-10b9-4ad3-af06-0b850c489717,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0016819,R0016819,EP016349,null,Curtis Lumber,Curtis Lumber - R0016819,paid,posted,1153.59,0,0,0,1153.59,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
ed22bf6e-cee3-402e-aed2-26e2ef855e25,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0017064,R0017064,EP016575,null,Lowe's for Pros,Lowe's for Pros - R0017064,paid,posted,128.98,0,0,0,128.98,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
0d4e2f25-b784-4e32-8168-2649be20d367,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0016971,R0016971,EP016576,null,Grainger,Grainger - R0016971,paid,posted,324.85,0,0,0,324.85,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
3406e877-07ae-4ed9-af51-3df2bc780d30,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0017154,R0017154,EP016671,null,Curtis Lumber,Curtis Lumber - R0017154,paid,posted,248.64,0,0,0,248.64,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
f21f171f-ae2c-420a-8ffb-3daff760e008,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0017474,R0017474,EP016995,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017474",paid,posted,30.56,0,0,0,30.56,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
6fd44bdb-a253-4a1c-9f68-16a812dbd815,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0017470,R0017470,EP016996,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017470",paid,posted,95.5,0,0,0,95.5,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
1042a776-d942-4837-b8e7-ebcad655b379,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0017519,R0017519,EP017056,null,Grainger,Grainger - R0017519,paid,posted,43.4,0,0,0,43.4,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
c72ee105-61ef-40b4-857d-32dadabafd86,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0017942,R0017942,EP017418,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017942",paid,posted,148.89,0,0,0,148.89,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
ed567a12-2db2-425e-8f91-51a7e83adf1b,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0017995,R0017995,EP017479,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017995",paid,posted,28.99,0,0,0,28.99,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
85181538-aa2b-476b-8827-cc8115519dce,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0018031,R0018031,EP017499,null,Grainger,Grainger - R0018031,paid,posted,141.02,0,0,0,141.02,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
245e0f95-a703-4ee0-82b5-819aabaec092,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,requisition,FALSE,R0018077,R0018077,EP017561,null,Grainger,Grainger - R0018077,paid,posted,39.29,0,0,0,39.29,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
