FISCAL_YEAR,ORGN_CODE,FUND_CODE,ACCT_CODE,ACCOUNT_NAME,PROG_CODE,FIELD_DES,TRANS_AMT,DR_CR_IND,RUCL_CODE,DOC_CODE,TRANS_DATE,ACTIVITY_DATE,TRANS_DESC,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,63104,Theatre Ticket Sales,A0,YTD,8.64,+,CHS1,F0077302,7/30/25 23:59,8/1/25 8:30,Miscellaneous Transactions,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,63104,Theatre Ticket Sales,A0,YTD,60.71,+,CHS1,F0078250,11/10/25 23:59,11/11/25 23:25,Miscellaneous Transactions,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,63104,Theatre Ticket Sales,A0,YTD,637.33,+,CHS1,F0078679,12/18/25 23:59,12/19/25 9:33,Miscellaneous Transactions,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,63104,Theatre Ticket Sales,A0,YTD,5988.1,+,CHS1,F0078503,12/4/25 23:59,12/10/25 11:37,Miscellaneous Transactions,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,13220,Business Licenses/Fees/Dues,A0,YTD,875,+,INEI,I0530363,##########,##########,Casarotto Ramsay and Associates Lim,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,13220,Business Licenses/Fees/Dues,A0,YTD,133.55,+,JE15,J0177446,##########,##########,rec Prepaid exp week ending 6/13/25,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,13220,Business Licenses/Fees/Dues,A0,YTD,910,+,INEI,I0530150,##########,##########,Concord Theatricals Corp,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,13220,Business Licenses/Fees/Dues,A0,YTD,105,+,INEI,I0530150,##########,##########,Concord Theatricals Corp,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,13220,Business Licenses/Fees/Dues,A0,YTD,700,+,JE16,J0179555,##########,##########,Theatre Dept. AMEX-Sep. '25,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11412,Meals with third parties,A0,YTD,113,+,JE16,X000188,12/8/25 23:59,12/19/25 9:33,EX000959,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11308,Theatre Production  Supplies,A0,YTD,120,+,INEI,I0536481,##########,##########,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11304,Theatre Props,A0,YTD,1.81,+,INEI,I0535334,11/4/25 11:53,11/6/25 14:25,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11304,Theatre Props,A0,YTD,7.73,+,INEI,I0535334,11/4/25 11:53,11/6/25 14:25,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11304,Theatre Props,A0,YTD,7.99,+,INEI,I0535334,11/4/25 11:53,11/6/25 14:25,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11304,Theatre Props,A0,YTD,6.89,+,INEI,I0535334,11/4/25 11:53,11/6/25 14:25,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11304,Theatre Props,A0,YTD,16.71,+,INEI,I0535334,11/4/25 11:53,11/6/25 14:25,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
