doc_code,banner_total,acct_codes,line_count,review_needed,review_reason
00825890,124.32,11300,1,no,
F0077302,8.64,63104,1,no,
F0078250,60.71,63104,1,no,
F0078503,5988.10,63104,1,no,
F0078679,637.33,63104,1,no,
I0530150,1015.00,13220,2,no,
I0530363,875.00,13220,1,no,
I0533433,226.37,11303,4,no,
I0533439,1153.59,11300,6,no,
I0534110,324.85,11300,10,no,
I0534446,248.64,11300,2,no,
I0534688,79.00,11300,1,no,
I0534689,49.98,11300,1,no,
I0534990,43.40,11300,1,no,
I0535060,95.50,11300,1,no,
I0535218,157.64,11300,1,no,
I0535325,30.56,11300,1,no,
I0535334,41.13,11304,5,no,
I0535578,545.21,11300,6,no,
I0535590,653.46,11302,9,no,
I0535679,284.50,11021;11301,4,yes,multiple_or_missing_acct_codes
I0536004,59.99,11302,1,no,
I0536005,96.07,11301,1,no,
I0536008,28.96,11302,2,no,
I0536033,7.00,11021,1,no,
I0536067,112.00,11220,1,no,
I0536143,148.89,11300,2,no,
I0536146,33.96,11300,4,no,
I0536160,28.99,11300,1,no,
I0536376,347.33,11302,9,no,
I0536379,1499.98,11302,1,no,
I0536400,39.29,11300,1,no,
I0536401,141.02,11300,2,no,
I0536435,3.99,11300,1,no,
I0536468,20.56,11300,3,no,
I0536474,9.99,11300,1,no,
I0536476,70.31,11300,3,no,
I0536481,120.00,11308,1,no,
I0536491,102.25,11304,4,no,
I0536507,69.99,11304,1,no,
I0536679,749.99,11302,1,no,
I0536719,69.99,11304,1,no,
I0536733,150.00,11300,1,no,
I0536996,112.48,11302,1,no,
I0537088,83.46,11302,2,no,
I0537095,39.99,11300,1,no,
J0177446,133.55,13220,1,no,
J0179555,894.40,11075;13220,2,yes,multiple_or_missing_acct_codes
X000188,113.00,11412,1,no,
X000237,140.88,11300,1,no,
