requisition_number,acct_code,amount,candidate_doc_code,confidence_note,review_required
R0016819,11300,1153.59,I0533439,unique_exact_amount_and_acct_code_match,yes
R0016832,11303,226.37,I0533433,unique_exact_amount_and_acct_code_match,yes
R0016971,11300,324.85,I0534110,unique_exact_amount_and_acct_code_match,yes
R0017154,11300,124.32,00825890,unique_exact_amount_and_acct_code_match,yes
R0017455,11220,112.00,I0536067,unique_exact_amount_and_acct_code_match,yes
R0017470,11300,95.50,I0535060,unique_exact_amount_and_acct_code_match,yes
R0017474,11300,30.56,I0535325,unique_exact_amount_and_acct_code_match,yes
R0017519,11300,43.40,I0534990,unique_exact_amount_and_acct_code_match,yes
R0017581,11304,41.13,I0535334,unique_exact_amount_and_acct_code_match,yes
R0017649,11300,545.21,I0535578,unique_exact_amount_and_acct_code_match,yes
R0017866,11302,653.46,I0535590,unique_exact_amount_and_acct_code_match,yes
R0017893,11300,157.64,I0535218,unique_exact_amount_and_acct_code_match,yes
R0017942,11300,148.89,I0536143,unique_exact_amount_and_acct_code_match,yes
R0017969,11300,33.96,I0536146,unique_exact_amount_and_acct_code_match,yes
R0017995,11300,28.99,I0536160,unique_exact_amount_and_acct_code_match,yes
R0018031,11300,141.02,I0536401,unique_exact_amount_and_acct_code_match,yes
R0018077,11300,39.29,I0536400,unique_exact_amount_and_acct_code_match,yes
R0018079,11301,96.07,I0536005,unique_exact_amount_and_acct_code_match,yes
R0018128,11302,59.99,I0536004,unique_exact_amount_and_acct_code_match,yes
R0018131,11300,70.31,I0536476,unique_exact_amount_and_acct_code_match,yes
R0018189,11308,120.00,I0536481,unique_exact_amount_and_acct_code_match,yes
R0018233,11302,28.96,I0536008,unique_exact_amount_and_acct_code_match,yes
R0018257,11302,1499.98,I0536379,unique_exact_amount_and_acct_code_match,yes
R0018401,11302,347.33,I0536376,unique_exact_amount_and_acct_code_match,yes
R0018402,11302,83.46,I0537088,unique_exact_amount_and_acct_code_match,yes
R0018457,11300,39.99,I0537095,unique_exact_amount_and_acct_code_match,yes
R0018664,11300,150.00,I0536733,unique_exact_amount_and_acct_code_match,yes
R0018785,11302,112.48,I0536996,unique_exact_amount_and_acct_code_match,yes
