requisition_number,acct_code,amount,match_status,reason,candidate_doc_codes,candidate_doc_count
R0015511,11005,31.45,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016313,15070,1448.28,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016316,16015,11830.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016317,12460,12698.10,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016485,15070,948.68,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016628,15070,116.40,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016629,11430,300.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016819,11300,1153.59,unique_match,exact_account_and_amount,I0533439,1
R0016831,16015,11940.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016832,11303,226.37,unique_match,exact_account_and_amount,I0533433,1
R0016890,11025,85.44,review_required,no_banner_doc_with_same_account_and_amount,,0
R0016971,11300,324.85,unique_match,exact_account_and_amount,I0534110,1
R0017064,11300,128.98,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017154,11300,124.32,unique_match,exact_account_and_amount,00825890,1
R0017275,16024,456.79,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017276,16024,29.79,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017366,11305,127.32,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017455,11220,112.00,unique_match,exact_account_and_amount,I0536067,1
R0017470,11300,95.50,unique_match,exact_account_and_amount,I0535060,1
R0017474,11300,30.56,unique_match,exact_account_and_amount,I0535325,1
R0017478,11305,43.97,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017492,16024,100.94,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017519,11300,43.40,unique_match,exact_account_and_amount,I0534990,1
R0017542,11305,36.90,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017581,11304,41.13,unique_match,exact_account_and_amount,I0535334,1
R0017649,11300,545.21,unique_match,exact_account_and_amount,I0535578,1
R0017679,11305,439.82,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017827,11305,61.94,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017866,11302,653.46,unique_match,exact_account_and_amount,I0535590,1
R0017893,11300,157.64,unique_match,exact_account_and_amount,I0535218,1
R0017918,11300,111.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017936,11305,138.44,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017942,11300,148.89,unique_match,exact_account_and_amount,I0536143,1
R0017946,11301,266.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017969,11300,33.96,unique_match,exact_account_and_amount,I0536146,1
R0017971,11300,13.98,review_required,no_banner_doc_with_same_account_and_amount,,0
R0017995,11300,28.99,unique_match,exact_account_and_amount,I0536160,1
R0018031,11300,141.02,unique_match,exact_account_and_amount,I0536401,1
R0018043,11305,78.38,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018077,11300,39.29,unique_match,exact_account_and_amount,I0536400,1
R0018078,11300,33.03,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018079,11301,96.07,unique_match,exact_account_and_amount,I0536005,1
R0018118,11304,172.24,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018128,11302,59.99,unique_match,exact_account_and_amount,I0536004,1
R0018131,11300,70.31,unique_match,exact_account_and_amount,I0536476,1
R0018189,11308,120.00,unique_match,exact_account_and_amount,I0536481,1
R0018233,11302,28.96,unique_match,exact_account_and_amount,I0536008,1
R0018257,11302,1499.98,unique_match,exact_account_and_amount,I0536379,1
R0018357,11305,227.02,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018364,15070,4613.82,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018365,11099,2363.24,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018401,11302,347.33,unique_match,exact_account_and_amount,I0536376,1
R0018402,11302,83.46,unique_match,exact_account_and_amount,I0537088,1
R0018457,11300,39.99,unique_match,exact_account_and_amount,I0537095,1
R0018663,11088,1090.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018664,11300,150.00,unique_match,exact_account_and_amount,I0536733,1
R0018785,11302,112.48,unique_match,exact_account_and_amount,I0536996,1
R0018827,11305,400.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0018834,12460,12247.41,review_required,no_banner_doc_with_same_account_and_amount,,0
R0019217,16015,220.00,review_required,no_banner_doc_with_same_account_and_amount,,0
R0019233,11305,84.36,review_required,no_banner_doc_with_same_account_and_amount,,0
R0019510,11303,453.45,review_required,no_banner_doc_with_same_account_and_amount,,0
R0019534,11308,103.81,review_required,no_banner_doc_with_same_account_and_amount,,0
R0019576,11300,828.68,review_required,no_banner_doc_with_same_account_and_amount,,0
R0019653,11089,1200.00,review_required,no_banner_doc_with_same_account_and_amount,,0
,63104,8.64,review_required,banner_doc_unmatched_on_account_and_amount,F0077302,1
,63104,60.71,review_required,banner_doc_unmatched_on_account_and_amount,F0078250,1
,63104,5988.10,review_required,banner_doc_unmatched_on_account_and_amount,F0078503,1
,63104,637.33,review_required,banner_doc_unmatched_on_account_and_amount,F0078679,1
