requisition_number,unimarket_order_numbers,order_value_total,acctpart4_codes,line_count,review_needed,review_reason
R0015511,EP015094,31.45,11005,3,no,
R0016313,EP015852,1448.28,15070,2,no,
R0016316,EP015854,11830.00,16015,3,no,
R0016317,EP015908,12698.10,12460,1,no,
R0016485,EP016016,948.68,15070,1,no,
R0016628,EP016158,116.40,15070,1,no,
R0016629,EP016206,300.00,11430,1,no,
R0016819,EP016349,1153.59,11300,6,no,
R0016831,EP016359,11940.00,16015,4,no,
R0016832,EP016353,226.37,11303,4,no,
R0016890,EP016414,85.44,11025,2,no,
R0016971,EP016576,324.85,11300,10,no,
R0017064,EP016575,128.98,11300,2,no,
R0017154,EP016671,124.32,11300,1,no,
R0017275,EP016974,456.79,16024,9,no,
R0017276,EP016973,29.79,16024,2,no,
R0017366,EP016879,127.32,11305,7,no,
R0017455,EP016965,112.00,11220,1,no,
R0017470,EP016996,95.50,11300,1,no,
R0017474,EP016995,30.56,11300,1,no,
R0017478,EP016994,43.97,11305,2,no,
R0017492,EP017000,100.94,16024,5,no,
R0017519,EP017056,43.40,11300,1,no,
R0017542,EP017057,36.90,11305,4,no,
R0017581,EP017120,41.13,11304,5,no,
R0017649,EP017155,545.21,11300,6,no,
R0017679,EP017180,439.82,11305,8,no,
R0017827,EP017323,61.94,11305,6,no,
R0017866,EP017361,653.46,11302,9,no,
R0017893,EP017382,157.64,11300,1,no,
R0017918,EP017403,111.00,11300,1,no,
R0017936,EP017419,138.44,11305,6,no,
R0017942,EP017418,148.89,11300,2,no,
R0017946,EP017425,266.00,11301,3,no,
R0017969,EP017438,33.96,11300,4,no,
R0017971,EP017444,13.98,11300,2,no,
R0017995,EP017479,28.99,11300,1,no,
R0018031,EP017499,141.02,11300,2,no,
R0018043,EP017512,78.38,11305,3,no,
R0018077,EP017561,39.29,11300,1,no,
R0018078,EP017562,33.03,11300,4,no,
R0018079,EP017560,96.07,11301,1,no,
R0018118,EP017592,172.24,11304,5,no,
R0018128,EP017591,59.99,11302,1,no,
R0018131,EP017604,70.31,11300,3,no,
R0018189,EP017655,120.00,11308,1,no,
R0018233,EP017693,28.96,11302,2,no,
R0018257,EP017726,1499.98,11302,2,no,
R0018357,EP017819,227.02,11305,2,no,
R0018364,EP017853,4613.82,15070,2,no,
R0018365,EP017854,2363.24,11099,2,no,
R0018401,EP017852,347.33,11302,9,no,
R0018402,EP017855,83.46,11302,2,no,
R0018457,EP017915,39.99,11300,1,no,
R0018663,EP018159,1090.00,11088,1,no,
R0018664,EP018102,150.00,11300,1,no,
R0018785,EP018236,112.48,11302,1,no,
R0018827,EP018271,400.00,11305,1,no,
R0018834,EP018706,12247.41,12460,1,no,
R0019217,EP018782,220.00,16015,1,no,
R0019233,EP018647,84.36,11305,4,no,
R0019510,EP018904,453.45,11303,1,no,
R0019534,EP018975,103.81,11308,5,no,
R0019576,EP019053,828.68,11300,8,no,
R0019653,EP019071,1200.00,11089,1,no,
