requisition_number,unimarket_order_numbers,unimarket_order_value_total,unimarket_acctpart4_codes,banner_doc_codes,banner_total,difference_banner_minus_unimarket,banner_acct_codes,supabase_banner_account_codes,supabase_production_categories,match_status,review_reason
R0015511,EP015094,31.45,11005,,0.00,-31.45,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016313,EP015852,1448.28,15070,,0.00,-1448.28,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016316,EP015854,11830.00,16015,,0.00,-11830.00,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016317,EP015908,12698.10,12460,,0.00,-12698.10,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016485,EP016016,948.68,15070,,0.00,-948.68,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016628,EP016158,116.40,15070,,0.00,-116.40,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016629,EP016206,300.00,11430,,0.00,-300.00,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016819,EP016349,1153.59,11300,,0.00,-1153.59,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0016831,EP016359,11940.00,16015,,0.00,-11940.00,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016832,EP016353,226.37,11303,,0.00,-226.37,,11303,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0016890,EP016414,85.44,11025,,0.00,-85.44,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0016971,EP016576,324.85,11300,,0.00,-324.85,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017064,EP016575,128.98,11300,,0.00,-128.98,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017154,EP016671,124.32,11300,,0.00,-124.32,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017275,EP016974,456.79,16024,,0.00,-456.79,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017276,EP016973,29.79,16024,,0.00,-29.79,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017366,EP016879,127.32,11305,,0.00,-127.32,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017455,EP016965,112.00,11220,,0.00,-112.00,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017470,EP016996,95.50,11300,,0.00,-95.50,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017474,EP016995,30.56,11300,,0.00,-30.56,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017478,EP016994,43.97,11305,,0.00,-43.97,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017492,EP017000,100.94,16024,,0.00,-100.94,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017519,EP017056,43.40,11300,,0.00,-43.40,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017542,EP017057,36.90,11305,,0.00,-36.90,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017581,EP017120,41.13,11304,,0.00,-41.13,,11304,Props,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017649,EP017155,545.21,11300,,0.00,-545.21,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017679,EP017180,439.82,11305,,0.00,-439.82,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017827,EP017323,61.94,11305,,0.00,-61.94,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017866,EP017361,653.46,11302,,0.00,-653.46,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017893,EP017382,157.64,11300,,0.00,-157.64,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017918,EP017403,111.00,11300,,0.00,-111.00,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017936,EP017419,138.44,11305,,0.00,-138.44,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017942,EP017418,148.89,11300,,0.00,-148.89,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017946,EP017425,266.00,11301,,0.00,-266.00,,,,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes;missing_or_multiple_supabase_categories
R0017969,EP017438,33.96,11300,,0.00,-33.96,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017971,EP017444,13.98,11300,,0.00,-13.98,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0017995,EP017479,28.99,11300,,0.00,-28.99,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018031,EP017499,141.02,11300,,0.00,-141.02,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018043,EP017512,78.38,11305,,0.00,-78.38,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018077,EP017561,39.29,11300,,0.00,-39.29,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018078,EP017562,33.03,11300,,0.00,-33.03,,11304,Props,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018079,EP017560,96.07,11301,,0.00,-96.07,,11301,Lighting,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018118,EP017592,172.24,11304,,0.00,-172.24,,11304,Props,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018128,EP017591,59.99,11302,,0.00,-59.99,,11302,Sound,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018131,EP017604,70.31,11300,,0.00,-70.31,,11304,Props,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018189,EP017655,120.00,11308,,0.00,-120.00,,11308,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018233,EP017693,28.96,11302,,0.00,-28.96,,11302,Sound,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018257,EP017726,1499.98,11302,,0.00,-1499.98,,11302,Sound,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018357,EP017819,227.02,11305,,0.00,-227.02,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018364,EP017853,4613.82,15070,,0.00,-4613.82,,null,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018365,EP017854,2363.24,11099,,0.00,-2363.24,,null,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018401,EP017852,347.33,11302,,0.00,-347.33,,11302,Sound,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018402,EP017855,83.46,11302,,0.00,-83.46,,11302,Sound,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018457,EP017915,39.99,11300,,0.00,-39.99,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018663,EP018159,1090.00,11088,,0.00,-1090.00,,null,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018664,EP018102,150.00,11300,,0.00,-150.00,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018785,EP018236,112.48,11302,,0.00,-112.48,,11302,Sound,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018827,EP018271,400.00,11305,,0.00,-400.00,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0018834,EP018706,12247.41,12460,,0.00,-12247.41,,null,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019217,EP018782,220.00,16015,,0.00,-220.00,,null,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019233,EP018647,84.36,11305,,0.00,-84.36,,11305,Costumes,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019510,EP018904,453.45,11303,,0.00,-453.45,,11303,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019534,EP018975,103.81,11308,,0.00,-103.81,,11308,Miscellaneous,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019576,EP019053,828.68,11300,,0.00,-828.68,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019653,EP019071,1200.00,11089,,0.00,-1200.00,,11308,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
,,0.00,,00825890,124.32,124.32,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,F0077302,8.64,8.64,63104,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,F0078250,60.71,60.71,63104,,,review,banner_doc_not_linked_to_unimarket_ordernumber
