fiscal_year_name,organization_name,org_code,project_name,season,budget_code,category,line_name,allocated_amount,sort_order
FY26,Theatre Department,2AC230,Rumors,Fall 2025,11300,Scenic,Scenic,2500,1
FY26,Theatre Department,2AC230,Rumors,Fall 2025,11305,Costumes,Costumes,1500,2
FY26,Theatre Department,2AC230,Rumors,Fall 2025,11301,Lighting,Lighting,1000,3
FY26,Theatre Department,2AC230,Rumors,Fall 2025,11302,Sound,Sound,100,4
FY26,Theatre Department,2AC230,Rumors,Fall 2025,13220,Rights,Rights,1148.55,5
FY26,Theatre Department,2AC230,Rumors,Fall 2025,11304,Props,Props,300,6
FY26,Theatre Department,2AC230,Rumors,Fall 2025,11308,Miscellaneous,Miscellaneous,700,7
FY26,Theatre Department,2AC230,Dolly West's Kitchen,Spring 2026,11300,Scenic,Scenic,3000,8
FY26,Theatre Department,2AC230,Dolly West's Kitchen,Spring 2026,11305,Costumes,Costumes,2000,9
FY26,Theatre Department,2AC230,Dolly West's Kitchen,Spring 2026,11301,Lighting,Lighting,500,10
FY26,Theatre Department,2AC230,Dolly West's Kitchen,Spring 2026,11302,Sound,Sound,100,11
FY26,Theatre Department,2AC230,Dolly West's Kitchen,Spring 2026,13220,Rights,Rights,995,12
FY26,Theatre Department,2AC230,Dolly West's Kitchen,Spring 2026,11304,Props,Props,500,13
FY26,Theatre Department,2AC230,Dolly West's Kitchen,Spring 2026,11308,Miscellaneous,Miscellaneous,700,14
